year,school_type,number_of_primary_sch
1999,Government,153
1999,Govt-Aided,40
2000,Government,155
2000,Govt-Aided,40
2001,Government,151
2001,Govt-Aided,41
2002,Government,137
2002,Govt-Aided,41
2003,Government,132
2003,Govt-Aided,41
2004,Government,131
2004,Govt-Aided,41
2005,Government,132
2005,Govt-Aided,41
2006,Government,131
2006,Govt-Aided,41
2007,Government,129
2007,Govt-Aided,41
2008,Government,133
2008,Govt-Aided,41
2009,Government,131
2009,Govt-Aided,41
2010,Government,132
2010,Govt-Aided,41
2011,Government,133
2011,Govt-Aided,41
2012,Government,134
2012,Govt-Aided,41
2013,Government,141
2013,Govt-Aided,41
2014,Government,144
2014,Govt-Aided,41
2015,Government,141
2015,Govt-Aided,41
2016,Government,144
2016,Govt-Aided,41
2017,Government,144
2017,Govt-Aided,41
2018,Government,145
2018,Govt-Aided,41
