year,school_type,number_of_secondary_sch
1999,Government,112
1999,Govt-Aided,28
1999,Independent,6
1999,Specialised Independent,0
1999,Specialised,0
2000,Government,123
2000,Govt-Aided,28
2000,Independent,6
2000,Specialised Independent,0
2000,Specialised,0
2001,Government,126
2001,Govt-Aided,28
2001,Independent,6
2001,Specialised Independent,0
2001,Specialised,0
2002,Government,127
2002,Govt-Aided,28
2002,Independent,6
2002,Specialised Independent,0
2002,Specialised,0
2003,Government,126
2003,Govt-Aided,28
2003,Independent,6
2003,Specialised Independent,0
2003,Specialised,0
2004,Government,123
2004,Govt-Aided,28
2004,Independent,5
2004,Specialised Independent,1
2004,Specialised,0
2005,Government,123
2005,Govt-Aided,28
2005,Independent,4
2005,Specialised Independent,1
2005,Specialised,0
2006,Government,122
2006,Govt-Aided,28
2006,Independent,4
2006,Specialised Independent,1
2006,Specialised,0
2007,Government,120
2007,Govt-Aided,28
2007,Independent,4
2007,Specialised Independent,1
2007,Specialised,1
2008,Government,120
2008,Govt-Aided,28
2008,Independent,4
2008,Specialised Independent,1
2008,Specialised,1
2009,Government,120
2009,Govt-Aided,28
2009,Independent,3
2009,Specialised Independent,1
2009,Specialised,2
2010,Government,120
2010,Govt-Aided,28
2010,Independent,3
2010,Specialised Independent,2
2010,Specialised,2
2011,Government,119
2011,Govt-Aided,28
2011,Independent,3
2011,Specialised Independent,2
2011,Specialised,2
2012,Government,119
2012,Govt-Aided,28
2012,Independent,3
2012,Specialised Independent,2
2012,Specialised,2
2013,Government,119
2013,Govt-Aided,28
2013,Independent,2
2013,Specialised Independent,2
2013,Specialised,3
2014,Government,119
2014,Govt-Aided,28
2014,Independent,2
2014,Specialised Independent,1
2014,Specialised,4
2015,Government,119
2015,Govt-Aided,28
2015,Independent,2
2015,Specialised Independent,1
2015,Specialised,4
2016,Government,115
2016,Govt-Aided,28
2016,Independent,2
2016,Specialised Independent,1
2016,Specialised,4
2017,Government,108
2017,Govt-Aided,28
2017,Independent,2
2017,Specialised Independent,1
2017,Specialised,4
2018,Government,104
2018,Govt-Aided,28
2018,Independent,2
2018,Specialised Independent,1
2018,Specialised,4
