year,school_type,number_of_mixed_level_school
1999,Government,0
1999,Govt-Aided,4
1999,Independent,2
1999,Specialised Independent,0
2000,Government,0
2000,Govt-Aided,4
2000,Independent,2
2000,Specialised Independent,0
2001,Government,0
2001,Govt-Aided,3
2001,Independent,2
2001,Specialised Independent,0
2002,Government,0
2002,Govt-Aided,3
2002,Independent,2
2002,Specialised Independent,0
2003,Government,0
2003,Govt-Aided,3
2003,Independent,2
2003,Specialised Independent,0
2004,Government,1
2004,Govt-Aided,3
2004,Independent,3
2004,Specialised Independent,0
2005,Government,4
2005,Govt-Aided,3
2005,Independent,4
2005,Specialised Independent,1
2006,Government,5
2006,Govt-Aided,3
2006,Independent,4
2006,Specialised Independent,1
2007,Government,5
2007,Govt-Aided,3
2007,Independent,4
2007,Specialised Independent,1
2008,Government,5
2008,Govt-Aided,3
2008,Independent,4
2008,Specialised Independent,2
2009,Government,5
2009,Govt-Aided,3
2009,Independent,5
2009,Specialised Independent,2
2010,Government,5
2010,Govt-Aided,3
2010,Independent,5
2010,Specialised Independent,2
2011,Government,5
2011,Govt-Aided,3
2011,Independent,5
2011,Specialised Independent,2
2012,Government,5
2012,Govt-Aided,3
2012,Independent,5
2012,Specialised Independent,2
2013,Government,4
2013,Govt-Aided,3
2013,Independent,6
2013,Specialised Independent,2
2014,Government,4
2014,Govt-Aided,3
2014,Independent,6
2014,Specialised Independent,3
2015,Government,4
2015,Govt-Aided,3
2015,Independent,6
2015,Specialised Independent,3
2016,Government,4
2016,Govt-Aided,3
2016,Independent,6
2016,Specialised Independent,3
2017,Government,4
2017,Govt-Aided,3
2017,Independent,6
2017,Specialised Independent,3
2018,Government,4
2018,Govt-Aided,3
2018,Independent,6
2018,Specialised Independent,3
