year,sex,school_type,students_pri,teachers_pri
1980,MF,Govt,214187,7244
1980,F,Govt,101232,4834
1980,MF,Aided,77323,2837
1980,F,Aided,37971,1908
1981,MF,Govt,210245,7260
1981,F,Govt,99357,4852
1981,MF,Aided,74756,2194
1981,F,Aided,36577,1430
1982,MF,Govt,217885,7437
1982,F,Govt,102355,4967
1982,MF,Aided,68734,2007
1982,F,Aided,33591,1327
1983,MF,Govt,219742,7854
1983,F,Govt,102697,5345
1983,MF,Aided,70862,2061
1983,F,Aided,34541,1429
1984,MF,Govt,219930,7958
1984,F,Govt,101956,5352
1984,MF,Aided,68564,2458
1984,F,Aided,33546,1793
1985,MF,Govt,211855,7917
1985,F,Govt,98662,5370
1985,MF,Aided,66020,2434
1985,F,Aided,32244,1810
1986,MF,Govt,205281,7921
1986,F,Govt,95681,5400
1986,MF,Aided,63387,2335
1986,F,Aided,31265,1759
1987,MF,Govt,199174,7893
1987,F,Govt,93190,5433
1987,MF,Aided,62225,2297
1987,F,Aided,30726,1752
1988,MF,Govt,198429,7798
1988,F,Govt,93004,5369
1988,MF,Aided,60688,2164
1988,F,Aided,29904,1665
1989,MF,Govt,196186,7797
1989,F,Govt,91947,5432
1989,MF,Aided,61504,2201
1989,F,Aided,30314,1714
1990,MF,Govt,195994,7848
1990,F,Govt,91747,5560
1990,MF,Aided,61763,2158
1990,F,Aided,30437,1673
1991,MF,Govt,197491,7677
1991,F,Govt,92312,5471
1991,MF,Aided,62618,2166
1991,F,Aided,30897,1697
1992,MF,Govt,198481,7682
1992,F,Govt,93163,5486
1992,MF,Aided,63984,2506
1992,F,Aided,31411,2021
1993,MF,Govt,196239,8173
1993,F,Govt,91808,6020
1993,MF,Aided,65163,2538
1993,F,Aided,31911,2087
1994,MF,Govt,185212,7930
1994,F,Govt,87220,5870
1994,MF,Aided,65793,2623
1994,F,Aided,32256,2169
1995,MF,Govt,192042,7770
1995,F,Govt,90748,5819
1995,MF,Aided,69511,2709
1995,F,Aided,34221,2265
1996,MF,Govt,196343,7867
1996,F,Govt,92771,5987
1996,MF,Aided,73089,2782
1996,F,Aided,36018,2352
1997,MF,Govt,203200,7901
1997,F,Govt,96488,6097
1997,MF,Aided,77114,2676
1997,F,Aided,37906,2269
1998,MF,Govt,208456,7994
1998,F,Govt,99170,5697
1998,MF,Aided,79772,2974
1998,F,Aided,39348,2114
1999,MF,Govt,217775,8223
1999,F,Govt,103839,6420
1999,MF,Aided,82184,3049
1999,F,Aided,40680,2574
2000,MF,Govt,223272,8659
2000,F,Govt,106443,6822
2000,MF,Aided,82433,3264
2000,F,Aided,40964,2767
2001,MF,Govt,220730,8777
2001,F,Govt,105449,7024
2001,MF,Aided,81836,3288
2001,F,Aided,40509,2796
2002,MF,Govt,220777,9082
2002,F,Govt,105544,7315
2002,MF,Aided,81724,3341
2002,F,Aided,40482,2860
2003,MF,Govt,219378,8757
2003,F,Govt,104741,7147
2003,MF,Aided,80561,3268
2003,F,Aided,39965,2804
2004,MF,Govt,216261,8884
2004,F,Govt,103011,7292
2004,MF,Aided,80158,3325
2004,F,Aided,39925,2859
2005,MF,Govt,210836,8959
2005,F,Govt,100211,7349
2005,MF,Aided,79425,3384
2005,F,Aided,39716,2894
2006,MF,Govt,206123,9080
2006,F,Govt,97689,7446
2006,MF,Aided,78477,3517
2006,F,Aided,39273,2997
2007,MF,Govt,206678,9284
2007,F,Govt,97710,7589
2007,MF,Aided,78370,3613
2007,F,Aided,39299,3061
2008,MF,Govt,202547,9434
2008,F,Govt,95763,7694
2008,MF,Aided,76725,3589
2008,F,Aided,38643,3011
2009,MF,Govt,196830,10066
2009,F,Govt,93145,8200
2009,MF,Aided,75424,3798
2009,F,Aided,38181,3205
2010,MF,Govt,189999,9892
2010,F,Govt,90030,8012
2010,MF,Aided,73907,3801
2010,F,Aided,37507,3219
2011,MF,Govt,185451,9936
2011,F,Govt,87858,8011
2011,MF,Aided,72842,3967
2011,F,Aided,36953,3341
2012,MF,Govt,180829,10219
2012,F,Govt,85837,8243
2012,MF,Aided,71906,4090
2012,F,Aided,36617,3446
2013,MF,Govt,173721,10553
2013,F,Govt,82692,8496
2013,MF,Aided,70324,4235
2013,F,Aided,35930,3550
2014,MF,Govt,171975,10541
2014,F,Govt,81912,8472
2014,MF,Aided,69708,4142
2014,F,Aided,35791,3478
2015,MF,Govt,169972,10740
2015,F,Govt,81087,8617
2015,MF,Aided,69130,4174
2015,F,Aided,35521,3497
2016,MF,Govt,169389,11161
2016,F,Govt,80871,8911
2016,MF,Aided,68751,4196
2016,F,Aided,35287,3506
2017,MF,Govt,167732,11339
2017,F,Govt,80179,9058
2017,MF,Aided,68022,4198
2017,F,Aided,34895,3493
2018,MF,Govt,166848,11559
2018,F,Govt,79810,9243
2018,MF,Aided,67566,4228
2018,F,Aided,34663,3504
